date,total_pc,index_pc,etp_pc,equity_pc,vix
2010-03-02,0.78,0.92,1.23,0.6,19.06
2010-03-03,0.87,1.22,1.11,0.65,18.83
2010-03-04,1.0,1.53,1.55,0.66,18.72
2010-03-05,0.82,1.3,1.1,0.52,17.42
2010-03-08,0.91,1.63,2.04,0.51,17.79
2010-03-09,0.68,0.85,1.46,0.46,17.92
2010-03-10,0.82,0.85,2.14,0.52,18.57
2010-03-11,0.91,1.21,2.29,0.53,18.06
2010-03-12,0.85,1.72,1.37,0.51,17.58
2010-03-15,0.79,0.93,1.48,0.56,18.0
2010-03-16,0.76,1.07,1.29,0.52,17.69
2010-03-17,0.85,1.27,1.35,0.49,16.91
2010-03-18,0.77,1.13,0.95,0.53,16.62
2010-03-19,0.97,2.0,1.58,0.6,16.97
2010-03-22,0.9,1.74,1.77,0.53,16.87
2010-03-23,0.65,1.11,0.59,0.58,16.35
2010-03-24,0.92,1.8,1.39,0.64,17.55
2010-03-25,0.84,1.6,1.61,0.49,18.4
2010-03-26,0.92,1.5,1.58,0.65,17.77
2010-03-29,0.86,1.94,1.2,0.64,17.59
2010-03-30,0.85,1.26,1.92,0.53,17.13
2010-03-31,0.84,2.07,1.25,0.51,17.59
2010-04-01,0.88,1.85,1.25,0.51,17.47
2010-04-05,0.78,1.58,1.4,0.43,17.02
2010-04-06,0.73,1.23,1.29,0.44,16.23
2010-04-07,0.9,1.69,1.31,0.57,16.62
2010-04-08,0.78,1.43,1.57,0.46,16.48
2010-04-09,0.71,1.39,0.83,0.48,16.14
2010-04-12,0.67,1.24,1.49,0.4,15.58
2010-04-13,0.72,0.99,1.34,0.48,16.2
2010-04-14,0.55,0.97,1.22,0.32,15.59
2010-04-15,0.69,1.13,1.85,0.36,15.89
2010-04-16,0.85,1.58,1.59,0.52,18.36
2010-04-19,0.89,1.07,2.21,0.5,17.34
2010-04-20,0.89,2.23,1.72,0.51,15.73
2010-04-21,0.89,1.83,1.86,0.52,16.32
2010-04-22,0.74,1.04,1.26,0.51,16.47
2010-04-23,0.71,0.94,1.5,0.48,16.62
2010-04-26,0.67,1.46,1.37,0.42,17.47
2010-04-27,0.88,1.36,1.51,0.57,22.81
2010-04-28,0.82,1.41,1.41,0.53,21.08
2010-04-29,0.72,1.34,1.05,0.49,18.44
2010-04-30,1.04,1.76,2.13,0.61,22.05
2010-05-03,0.79,1.38,1.52,0.53,20.19
2010-05-04,0.99,1.18,1.59,0.68,23.84
2010-05-05,1.13,1.32,2.17,0.7,24.91
2010-05-06,1.02,1.21,1.48,0.72,32.8
2010-05-07,1.2,1.45,1.75,0.8,40.95
2010-05-10,0.99,1.2,1.59,0.62,28.84
2010-05-11,1.07,1.48,1.53,0.69,28.32
2010-05-12,0.85,1.29,1.33,0.51,25.52
2010-05-13,0.85,1.06,1.43,0.56,26.68
2010-05-14,1.12,1.05,1.95,0.73,31.24
2010-05-17,1.01,1.28,1.44,0.7,30.84
2010-05-18,1.0,1.23,1.6,0.64,33.55
2010-05-19,1.37,1.99,1.81,0.82,35.32
2010-05-20,1.5,1.68,2.44,0.91,45.79
2010-05-21,1.28,1.74,1.82,0.87,40.1
2010-05-24,0.92,1.21,1.43,0.62,38.32
2010-05-25,1.11,1.51,1.74,0.66,34.61
2010-05-26,1.03,1.51,2.1,0.53,35.02
2010-05-27,1.01,1.34,2.14,0.5,29.68
2010-05-28,1.2,1.21,2.61,0.58,32.07
2010-06-01,0.9,1.03,1.61,0.61,35.54
2010-06-02,0.9,0.95,1.82,0.63,30.17
2010-06-03,1.07,1.59,1.94,0.59,29.46
2010-06-04,0.99,1.21,1.72,0.6,35.48
2010-06-07,0.97,1.09,1.72,0.6,36.57
2010-06-08,1.14,1.35,1.79,0.7,33.7
2010-06-09,1.05,1.51,1.45,0.74,33.73
2010-06-10,1.0,1.33,1.5,0.66,30.57
2010-06-11,1.08,1.14,1.91,0.7,28.79
2010-06-14,1.07,2.05,1.05,0.7,28.58
2010-06-15,0.84,1.24,1.2,0.56,25.87
2010-06-16,0.94,1.27,1.22,0.66,25.92
2010-06-17,0.9,0.94,1.25,0.71,25.05
2010-06-18,0.86,1.47,1.09,0.62,23.95
2010-06-21,0.91,2.12,1.25,0.54,24.88
2010-06-22,1.04,1.29,1.93,0.63,27.05
2010-06-23,1.09,1.23,1.88,0.71,26.91
2010-06-24,1.29,0.91,3.24,0.82,29.74
2010-06-25,0.89,1.51,1.17,0.63,28.53
2010-06-28,0.78,0.92,1.02,0.66,29.0
2010-06-29,1.09,1.19,1.61,0.8,34.13
2010-06-30,1.08,1.17,2.3,0.62,34.54
2010-07-01,1.24,1.43,2.12,0.75,32.86
2010-07-02,0.89,1.2,1.28,0.6,30.12
2010-07-06,1.2,1.64,2.25,0.61,29.65
2010-07-07,0.87,0.93,1.89,0.52,26.84
2010-07-08,0.81,1.12,1.27,0.56,25.71
2010-07-09,0.84,1.03,1.37,0.58,24.98
2010-07-12,0.97,1.58,1.55,0.61,24.43
2010-07-13,0.8,1.23,1.49,0.49,24.56
2010-07-14,0.91,0.98,2.06,0.56,24.89
2010-07-15,0.87,0.83,1.88,0.61,25.14
2010-07-16,1.06,1.51,1.81,0.74,26.25
2010-07-19,0.7,1.0,1.23,0.51,25.97
2010-07-20,0.84,1.71,1.2,0.51,23.93
2010-07-21,0.99,1.77,1.72,0.63,25.64
2010-07-22,0.81,1.24,1.43,0.52,24.63
2010-07-23,0.83,1.15,1.7,0.55,23.47
2010-07-26,0.95,1.34,2.03,0.53,22.73
2010-07-27,0.81,1.48,1.51,0.52,23.19
